Study_ID,Author_Year,Full_Citation,DOI_or_PMID,Design,N,Population,Duration_weeks,Groups_Compared,Hypertrophy_Outcome_Measure,Quantitative_Result,Verification_Status,Notes
S04,Drinkwater et al. 2005,"Drinkwater EJ, Lawton TW, Lindsell RP, Pyne DB, Hunt PH, McKenna MJ. Training leading to repetition failure enhances bench press strength gains in elite junior athletes. J Strength Cond Res. 2005;19(2):382.",TBD,RCT,TBD,elite junior athletes,TBD,failure vs non-failure,NONE - strength/power only,N/A,EXCLUDED - NO HYPERTROPHY OUTCOME,"A published review (Nobrega and Libardi 2016, PMC4731492) explicitly states this study did not assess muscle hypertrophy. Excluded."
S05,Folland et al. 2002,"Folland JP, Irish CS, Roberts JC, Tarr JE, Jones DA. Fatigue is not a necessary stimulus for strength gains during resistance training. Br J Sports Med. 2002;36:370-373.",DOI 10.1136/bjsm.36.5.370,RCT,TBD,TBD,TBD,failure vs non-failure,NONE - strength only (per title),N/A,EXCLUDED - NO HYPERTROPHY OUTCOME,Title confirms strength-only focus. Excluded from hypertrophy table.
S07,Izquierdo et al. 2006,"Izquierdo M, Ibanez J, Gonzalez-Badillo JJ, et al. Differential effects of strength training leading to failure versus not to failure on hormonal responses, strength, and muscle power gains. J Appl Physiol. 2006;100:1647-1656.",TBD,RCT,TBD,TBD,TBD,failure vs non-failure,NONE - strength/power/hormones only,N/A,EXCLUDED - NO HYPERTROPHY OUTCOME,Abstract confirms outcomes are strength and power only. Excluded.
S08,Karsten et al. 2021,"Karsten B, Fu YL, Larumbe-Zabala E, Seijo M, Naclerio F. Impact of two high-volume set configuration workouts on resistance training outcomes in recreationally trained men. J Strength Cond Res. 2021;35(Suppl 1):S136-143.",TBD,UNCLEAR - possibly conference abstract,TBD,recreationally trained men,TBD,set configuration,NOT CONFIRMED,N/A,NEEDS VERIFICATION,'(Suppl 1)' page format suggests a conference abstract rather than a full study. Needs full-text check.
S09,Kramer et al. 1997,"Kramer JB, Stone MH, O'Bryant HS, et al. Effects of single vs. multiple sets of weight training: Impact of volume, intensity, and variation. J Strength Cond Res. 1997;11:143-147.",TBD,RCT,TBD,TBD,TBD,volume/intensity,NOT CONFIRMED - likely strength focus,N/A,NEEDS VERIFICATION,Old study; no hypertrophy outcome confirmed yet.
S10,Lacerda et al. 2020,"Lacerda LT, Marra-Lopes RO, Diniz RCR, Lima FV, Rodrigues SA, Martins-Costa HC, Bemben MG, Chagas MH. Is performing repetitions to failure less important than volume for muscle hypertrophy and strength? J Strength Cond Res. 2020;34(5):1237-1248.",DOI 10.1519/JSC.0000000000003438 / PMID 31809457,RCT (within-subject unilateral),10,untrained men (NOT resistance-trained),14,MF (muscle failure) vs NMF (not-to-failure, equal volume) - unilateral knee extension,Rectus femoris + vastus lateralis CSA,"NO EXACT NUMBERS IN ABSTRACT - only qualitative: ""similarly effective"" on average; individual-level data suggest NMF may match or exceed MF for vastus lateralis hypertrophy",ON-TOPIC BUT STILL NO USABLE NUMBERS,"Abstract has no %change/ES for hypertrophy specifically - unusually, this paper emphasizes individual variability over group means. Need the actual results table/figure for real numbers - please paste that if you have full-text access."
S11,Lasevicius et al. 2019,"Lasevicius T, Schoenfeld BJ, Silva-Batista C, Barros TS, Aihara AY, Brendon H, Longo AR, Tricoli V, Peres BA, Teixeira EL. Muscle failure promotes greater muscle hypertrophy in low-load but not in high-load resistance training. J Strength Cond Res. 2019.",DOI 10.1519/JSC.0000000000003454,RCT,~30-32 (confirm exact per group),"untrained, physically active men (NOT resistance-trained)",12,"4 groups: High-load+failure (HL-RF), High-load+non-failure (HL-RNF), Low-load+failure (LL-RF), Low-load+non-failure (LL-RNF)",Quadriceps CSA (imaging),"HL-RF: +8.1% (ES=0.57); HL-RNF: +7.7% (ES=0.60); LL-RF: +7.8% (ES=0.45); LL-RNF: +2.8% (ES=0.15, NOT significant)",FULL DATA EXTRACTED - REAL NUMBERS,Found via open ResearchGate PDF. Population is untrained, not resistance-trained - flag for inclusion decision.
S12,Martorelli et al. 2017,"Martorelli S, Cadore EL, Izquierdo M, Celes R, Martorelli A, Cleto VA, Alvarenga JG, Bottaro M. Strength training with repetitions to failure does not provide additional strength and muscle hypertrophy gains in young women. Eur J Transl Myol. 2017;27(2):6339.",DOI 10.4081/ejtm.2017.6339 / PMID 28713535 / PMCID PMC5505097,RCT,89,"active young women (NOT resistance-trained - population mismatch vs. your title)",10,"3 groups: repetitions-to-failure (RF), not-to-failure equal-volume (RNFV), not-to-failure (RNF) - bilateral biceps curl",Muscle thickness (ultrasound),"At 10wk: RF +17.5% (sig.); RNFV +8.5% (sig.); RNF +2.1% (NOT sig.)",FULL DATA EXTRACTED - REAL NUMBERS,"Open access - fetched directly from publisher (PAGEPress). Real title differs from an earlier draft of this table - corrected here. Population is young women, not resistance-trained."
S13,Nobrega et al. 2018,"Nobrega SR, Ugrinowitsch C, Pintanel L, Barcelos C, Libardi CA. Effect of Resistance Training to Muscle Failure vs. Volitional Interruption at High- and Low-Intensities on Muscle Mass and Strength. J Strength Cond Res. 2018;32(1):162-169.",DOI 10.1519/JSC.0000000000001787 / PMID 29189407,RCT (within-subject unilateral),32,untrained men (NOT resistance-trained),12,"4 unilateral protocols: failure high/low intensity (HIRT-F/LIRT-F), volitional interruption high/low intensity (HIRT-V/LIRT-V)",Muscle CSA,"All 4 protocols similar - CSA at 6wk: range 3.0-4.6% (ES 0.10-0.26); at 12wk: range 6.1-7.5% (ES 0.22-0.26). No significant differences between protocols.",PARTIAL DATA EXTRACTED - RANGE ONLY,"Abstract gives a RANGE across all 4 groups, not exact per-group values - usable for a rough estimate but not precise per-arm extraction. Exact per-group numbers would need the results table."
S14,Pareja-Blanco et al. 2017,NOT YET CONFIRMED - EXACT TITLE UNCLEAR,TBD,TBD,TBD,TBD,TBD,velocity loss threshold,NOT CONFIRMED,N/A,NEEDS CLARIFICATION,Multiple Pareja-Blanco velocity-loss papers exist from this period. Please send exact title or DOI.
